Date,World,Africa,Asia,Europe,North_America,Oceania,South_America
27/04/2021,839085,9799,490011,138724,68817,46,131688
28/04/2021,898825,9498,508677,154255,75260,112,151023
29/04/2021,894038,15598,511878,156434,81245,121,128762
30/04/2021,891379,9440,518443,141069,77300,18,145109
1/05/2021,794898,7975,498588,115972,62579,142,109642
2/05/2021,687269,6224,476473,81580,40387,105,82500
3/05/2021,690456,6908,459438,77516,64278,78,82238
4/05/2021,784950,7271,486835,104710,58677,38,127419
5/05/2021,842022,9627,519141,120195,64247,31,128781
6/05/2021,870855,13277,524384,130199,63918,372,138705
7/05/2021,834669,9370,505039,121999,66474,28,131759
8/05/2021,788289,6392,498754,98732,49186,31,135194
9/05/2021,649405,9725,456188,72337,32577,14,78564
10/05/2021,625661,6989,419374,68988,49893,471,79946
11/05/2021,725466,7272,443263,95463,51092,427,127949
12/05/2021,767387,9031,452256,106017,55103,523,144457
13/05/2021,734689,8638,430889,96837,55170,252,142903
14/05/2021,709584,8168,399288,89554,59401,491,152682
15/05/2021,631598,6991,382899,72084,44874,12,124738
16/05/2021,546358,7153,355918,60459,27323,14,95491
17/05/2021,543516,7329,347055,56652,40896,10,91574
18/05/2021,621992,10676,352248,75390,43760,531,139387
19/05/2021,671946,10184,364244,89116,44716,444,163242
20/05/2021,631085,11508,346569,69021,46583,296,157108
21/05/2021,626427,10166,344412,72708,44505,14,154622
22/05/2021,572349,9988,320826,60250,32063,39,149183
23/05/2021,481618,8139,295838,47800,22126,18,107697
24/05/2021,451090,8498,276645,41656,34021,297,89973
25/05/2021,533305,5823,292337,50505,38144,73,146423
26/05/2021,568404,14206,291554,60212,38935,202,163295
27/05/2021,546863,11693,270752,66663,41052,86,156617
28/05/2021,505501,12448,257599,62766,36982,418,135288
29/05/2021,480424,11867,241087,50581,23231,16,153642
30/05/2021,389894,5964,227727,40768,14440,127,100868
31/05/2021,387049,13186,203511,37928,19281,122,113021
1/06/2021,459981,10120,206374,47205,37801,43,158438
2/06/2021,487605,13822,211976,44369,30671,63,186704
3/06/2021,480498,14831,210728,66167,32194,313,156265
4/06/2021,424908,14937,194865,48298,30515,56,136237
5/06/2021,396650,12708,181830,38092,24567,122,139331
6/06/2021,322980,12729,165034,33182,13318,170,98547
7/06/2021,321726,11406,148164,36364,24432,145,101215
8/06/2021,370106,12994,160590,42681,25903,130,127808
9/06/2021,418268,18517,166855,46057,32526,245,154068
10/06/2021,453498,21743,165480,55179,28369,96,182631
11/06/2021,422041,19898,158488,43314,38132,65,162144
12/06/2021,368374,20859,146869,37196,20802,104,142544
13/06/2021,302751,16913,139589,34213,12316,140,99580
14/06/2021,309285,15622,131058,37996,21759,108,102742
15/06/2021,374758,19851,133305,39250,25119,139,157094
16/06/2021,389149,26299,139850,40719,25568,252,156461
